"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
5e+10;0.00771908;0.00377927;-0.212666
1e+11;0.00771908;-0.0198306;0.0549172
1.5e+11;0.00771908;-0.00347357;-0.0285039
2e+11;0.00771908;0.0137046;0.0109213
2.5e+11;0.00771908;-0.00593634;0.00581726
-2.5e+11;0.00788296;-0.00624854;-0.00585455
-2e+11;0.00788296;0.0141853;-0.0117101
-1.5e+11;0.00788296;-0.00335624;0.0299771
-1e+11;0.00788296;-0.021601;-0.0570004
-5e+10;0.00788296;0.00310738;0.213854
0;0.00788296;1.85401;0
5e+10;0.00788296;0.00310738;-0.213854
1e+11;0.00788296;-0.021601;0.0570004
1.5e+11;0.00788296;-0.00335624;-0.0299771
2e+11;0.00788296;0.0141853;0.0117101
2.5e+11;0.00788296;-0.00624854;0.00585455
-2.5e+11;0.00804684;-0.00655553;-0.00588826
-2e+11;0.00804684;0.0146562;-0.0124957
-1.5e+11;0.00804684;-0.00322853;0.0314431
-1e+11;0.00804684;-0.0233782;-0.0590678
-5e+10;0.00804684;0.00241729;0.215049
0;0.00804684;1.86657;0
5e+10;0.00804684;0.00241729;-0.215049
1e+11;0.00804684;-0.0233782;0.0590678
1.5e+11;0.00804684;-0.00322853;-0.0314431
2e+11;0.00804684;0.0146562;0.0124957
2.5e+11;0.00804684;-0.00655553;0.00588826
-2.5e+11;0.00821072;-0.00685775;-0.00591948
-2e+11;0.00821072;0.0151175;-0.0132769
-1.5e+11;0.00821072;-0.00308984;0.0329017
-1e+11;0.00821072;-0.0251643;-0.0611191
-5e+10;0.00821072;0.00170903;0.216242
0;0.00821072;1.87688;0
5e+10;0.00821072;0.00170903;-0.216242
1e+11;0.00821072;-0.0251643;0.0611191
1.5e+11;0.00821072;-0.00308984;-0.0329017
2e+11;0.00821072;0.0151175;0.0132769
2.5e+11;0.00821072;-0.00685775;0.00591948
-2.5e+11;0.0083746;-0.00715535;-0.00594919
-2e+11;0.0083746;0.0155692;-0.0140527
-1.5e+11;0.0083746;-0.00293988;0.0343522
-1e+11;0.0083746;-0.0269601;-0.0631534
-5e+10;0.0083746;0.000982204;0.217429
0;0.0083746;1.88856;0
5e+10;0.0083746;0.000982204;-0.217429
1e+11;0.0083746;-0.0269601;0.0631534
1.5e+11;0.0083746;-0.00293988;-0.0343522
2e+11;0.0083746;0.0155692;0.0140527
2.5e+11;0.0083746;-0.00715535;0.00594919
-2.5e+11;0.00853848;-0.00744834;-0.00597803
-2e+11;0.00853848;0.016011;-0.0148221
-1.5e+11;0.00853848;-0.00277786;0.0357939
-1e+11;0.00853848;-0.0287671;-0.0651696
-5e+10;0.00853848;0.000235915;0.218607
0;0.00853848;1.90165;0
5e+10;0.00853848;0.000235915;-0.218607
1e+11;0.00853848;-0.0287671;0.0651696
1.5e+11;0.00853848;-0.00277786;-0.0357939
2e+11;0.00853848;0.016011;0.0148221
2.5e+11;0.00853848;-0.00744834;0.00597803
