"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1e+11;0.00323061;-0.0170468;0.0671655
-5e+10;0.00323061;-0.357551;-0.260673
0;0.00323061;7.61655e-13;0
5e+10;0.00323061;-0.357551;0.260673
1e+11;0.00323061;-0.0170468;-0.0671655
1.5e+11;0.00323061;-0.0258619;-0.00543383
2e+11;0.00323061;-0.0054747;0.00345236
2.5e+11;0.00323061;-0.00412073;-0.00152535
-2.5e+11;0.00335102;-0.0054646;0.0033938
-2e+11;0.00335102;-0.00392942;-0.00278596
-1.5e+11;0.00335102;-0.0279122;0.00421474
-1e+11;0.00335102;-0.0213114;0.0750214
-5e+10;0.00335102;-0.360717;-0.269853
0;0.00335102;-4.68979e-13;0
5e+10;0.00335102;-0.360717;0.269853
1e+11;0.00335102;-0.0213114;-0.0750214
1.5e+11;0.00335102;-0.0279122;-0.00421474
2e+11;0.00335102;-0.00392942;0.00278596
2.5e+11;0.00335102;-0.0054646;-0.0033938
-2.5e+11;0.00347142;-0.00657198;0.00531996
-2e+11;0.00347142;-0.00196353;-0.00202999
-1.5e+11;0.00347142;-0.0295445;0.00284373
-1e+11;0.00347142;-0.0255243;0.0829221
-5e+10;0.00347142;-0.363178;-0.27924
0;0.00347142;-3.97879e-13;0
5e+10;0.00347142;-0.363178;0.27924
1e+11;0.00347142;-0.0255243;-0.0829221
1.5e+11;0.00347142;-0.0295445;-0.00284373
2e+11;0.00347142;-0.00196353;0.00202999
2.5e+11;0.00347142;-0.00657198;-0.00531996
-2.5e+11;0.00359183;-0.00748866;0.0072614
-2e+11;0.00359183;0.000295719;-0.00119592
-1.5e+11;0.00359183;-0.0308335;0.00137031
-1e+11;0.00359183;-0.0297235;0.0908406
-5e+10;0.00359183;-0.365068;-0.288779
0;0.00359183;5.49499e-13;0
5e+10;0.00359183;-0.365068;0.288779
1e+11;0.00359183;-0.0297235;-0.0908406
1.5e+11;0.00359183;-0.0308335;-0.00137031
2e+11;0.00359183;0.000295719;0.00119592
2.5e+11;0.00359183;-0.00748866;-0.0072614
-2.5e+11;0.00371224;-0.00826196;0.00916427
-2e+11;0.00371224;0.00270676;-0.000284787
-1.5e+11;0.00371224;-0.0318369;-0.000155582
-1e+11;0.00371224;-0.033964;0.0987248
-5e+10;0.00371224;-0.366516;-0.298385
0;0.00371224;-1.43243e-12;0
5e+10;0.00371224;-0.366516;0.298385
1e+11;0.00371224;-0.033964;-0.0987248
1.5e+11;0.00371224;-0.0318369;0.000155582
2e+11;0.00371224;0.00270676;0.000284787
2.5e+11;0.00371224;-0.00826196;-0.00916427
-2.5e+11;0.00383265;-0.00886623;0.0108443
-2e+11;0.00383265;0.00503165;0.000737978
-1.5e+11;0.00383265;-0.0324768;-0.00162854
-1e+11;0.00383265;-0.0383001;0.106364
-5e+10;0.00383265;-0.367655;-0.307827
0;0.00383265;1.9777e-12;0
5e+10;0.00383265;-0.367655;0.307827
1e+11;0.00383265;-0.0383001;-0.106364
1.5e+11;0.00383265;-0.0324768;0.00162854
2e+11;0.00383265;0.00503165;-0.000737978
2.5e+11;0.00383265;-0.00886623;-0.0108443
-2.5e+11;0.00395306;-0.00910907;0.0117487
-2e+11;0.00395306;0.0067118;0.00198968
-1.5e+11;0.00395306;-0.0323679;-0.00276915
-1e+11;0.00395306;-0.0427887;0.113119
-5e+10;0.00395306;-0.368721;-0.316456
0;0.00395306;1.82884e-12;0
5e+10;0.00395306;-0.368721;0.316456
1e+11;0.00395306;-0.0427887;-0.113119
1.5e+11;0.00395306;-0.0323679;0.00276915
2e+11;0.00395306;0.0067118;-0.00198968
2.5e+11;0.00395306;-0.00910907;-0.0117487
-2.5e+11;0.00407346;-0.00890505;0.0116225
-2e+11;0.00407346;0.00748379;0.00350573
-1.5e+11;0.00407346;-0.0313632;-0.00343349
-1e+11;0.00407346;-0.0474083;0.118681
-5e+10;0.00407346;-0.36991;-0.323942
0;0.00407346;-5.88008e-12;0
5e+10;0.00407346;-0.36991;0.323942
1e+11;0.00407346;-0.0474083;-0.118681
1.5e+11;0.00407346;-0.0313632;0.00343349
2e+11;0.00407346;0.00748379;-0.00350573
2.5e+11;0.00407346;-0.00890505;-0.0116225
-2.5e+11;0.00419387;-0.00843284;0.010883
-2e+11;0.00419387;0.00772323;0.0051663
-1.5e+11;0.00419387;-0.0298352;-0.00380018
-1e+11;0.00419387;-0.0520678;0.123507
-5e+10;0.00419387;-0.371215;-0.330714
0;0.00419387;4.98028e-13;0
5e+10;0.00419387;-0.371215;0.330714
1e+11;0.00419387;-0.0520678;-0.123507
1.5e+11;0.00419387;-0.0298352;0.00380018
2e+11;0.00419387;0.00772323;-0.0051663
2.5e+11;0.00419387;-0.00843284;-0.010883
-2.5e+11;0.00431428;-0.0078293;0.00985245
-2e+11;0.00431428;0.00772138;0.00688145
-1.5e+11;0.00431428;-0.028066;-0.004007
-1e+11;0.00431428;-0.0566965;0.127945
-5e+10;0.00431428;-0.372626;-0.337103
0;0.00431428;1.87687e-13;0
5e+10;0.00431428;-0.372626;0.337103
1e+11;0.00431428;-0.0566965;-0.127945
1.5e+11;0.00431428;-0.028066;0.004007
2e+11;0.00431428;0.00772138;-0.00688145
2.5e+11;0.00431428;-0.0078293;-0.00985245
-2.5e+11;0.00443469;-0.00716291;0.00868771
-2e+11;0.00443469;0.00761823;0.00860145
-1.5e+11;0.00443469;-0.0262029;-0.00411334
-1e+11;0.00443469;-0.0612359;0.132153
-5e+10;0.00443469;-0.374181;-0.343249
0;0.00443469;-2.83166e-13;0
5e+10;0.00443469;-0.374181;0.343249
1e+11;0.00443469;-0.0612359;-0.132153
1.5e+11;0.00443469;-0.0262029;0.00411334
2e+11;0.00443469;0.00761823;-0.00860145
2.5e+11;0.00443469;-0.00716291;-0.00868771
-2.5e+11;0.0045551;-0.00647341;0.00747695
-2e+11;0.0045551;0.00749135;0.0102909
-1.5e+11;0.0045551;-0.0243401;-0.004143
-1e+11;0.0045551;-0.065622;0.136203
-5e+10;0.0045551;-0.375948;-0.349203
0;0.0045551;1.02788e-12;0
5e+10;0.0045551;-0.375948;0.349203
1e+11;0.0045551;-0.065622;-0.136203
1.5e+11;0.0045551;-0.0243401;0.004143
2e+11;0.0045551;0.00749135;-0.0102909
2.5e+11;0.0045551;-0.00647341;-0.00747695
-2.5e+11;0.0046755;-0.0057906;0.00628425
-2e+11;0.0046755;0.00739742;0.0119156
-1.5e+11;0.0046755;-0.022558;-0.00410288
-1e+11;0.0046755;-0.0697718;0.140133
-5e+10;0.0046755;-0.378034;-0.354973
0;0.0046755;-3.40647e-10;0
5e+10;0.0046755;-0.378034;0.354973
1e+11;0.0046755;-0.0697718;-0.140133
1.5e+11;0.0046755;-0.022558;0.00410288
2e+11;0.0046755;0.00739742;-0.0119156
2.5e+11;0.0046755;-0.0057906;-0.00628425
-2.5e+11;0.00479591;-0.00514366;0.00517087
-2e+11;0.00479591;0.00739198;0.0134338
-1.5e+11;0.00479591;-0.0209455;-0.00398878
-1e+11;0.00479591;-0.0735673;0.143956
-5e+10;0.00479591;-0.38059;-0.360532
0;0.00479591;-1.47543e-11;0
5e+10;0.00479591;-0.38059;0.360532
1e+11;0.00479591;-0.0735673;-0.143956
1.5e+11;0.00479591;-0.0209455;0.00398878
2e+11;0.00479591;0.00739198;-0.0134338
2.5e+11;0.00479591;-0.00514366;-0.00517087
-2.5e+11;0.00491632;-0.00456867;0.00421097
-2e+11;0.00491632;0.0075448;0.0147864
-1.5e+11;0.00491632;-0.0196221;-0.00378496
-1e+11;0.00491632;-0.076828;0.147669
-5e+10;0.00491632;-0.38385;-0.365815
0;0.00491632;-2.21373e-09;0
5e+10;0.00491632;-0.38385;0.365815
1e+11;0.00491632;-0.076828;-0.147669
1.5e+11;0.00491632;-0.0196221;0.00378496
2e+11;0.00491632;0.0075448;-0.0147864
2.5e+11;0.00491632;-0.00456867;-0.00421097
-2.5e+11;0.00503673;-0.00411989;0.00351386
-2e+11;0.00503673;0.00796256;0.0158763
-1.5e+11;0.00503673;-0.0187748;-0.00345697
-1e+11;0.00503673;-0.0792503;0.151245
-5e+10;0.00503673;-0.388191;-0.370685
0;0.00503673;1.27996e-09;0
5e+10;0.00503673;-0.388191;0.370685
1e+11;0.00503673;-0.0792503;-0.151245
1.5e+11;0.00503673;-0.0187748;0.00345697
2e+11;0.00503673;0.00796256;-0.0158763
2.5e+11;0.00503673;-0.00411989;-0.00351386
-2.5e+11;0.00515714;-0.00389277;0.00326634
-2e+11;0.00515714;0.00883596;0.0165254
-1.5e+11;0.00515714;-0.0187373;-0.0029306
-1e+11;0.00515714;-0.0802713;0.154603
-5e+10;0.00515714;-0.394287;-0.374847
0;0.00515714;-2.09751e-10;0
5e+10;0.00515714;-0.394287;0.374847
1e+11;0.00515714;-0.0802713;-0.154603
1.5e+11;0.00515714;-0.0187373;0.0029306
2e+11;0.00515714;0.00883596;-0.0165254
2.5e+11;0.00515714;-0.00389277;-0.00326634
-2.5e+11;0.00527754;-0.00408024;0.00382681
-2e+11;0.00527754;0.0105583;0.0163644
-1.5e+11;0.00527754;-0.0201834;-0.00202874
-1e+11;0.00527754;-0.0787183;0.157513
-5e+10;0.00527754;-0.403427;-0.377594
0;0.00527754;-4.21027e-12;0
5e+10;0.00527754;-0.403427;0.377594
1e+11;0.00527754;-0.0787183;-0.157513
1.5e+11;0.00527754;-0.0201834;0.00202874
2e+11;0.00527754;0.0105583;-0.0163644
2.5e+11;0.00527754;-0.00408024;-0.00382681
-2.5e+11;0.00539795;-0.00503555;0.00574989
-2e+11;0.00539795;0.0138929;0.0147117
-1.5e+11;0.00539795;-0.0243256;-0.000332111
-1e+11;0.00539795;-0.0723529;0.159317
-5e+10;0.00539795;-0.417609;-0.377147
0;0.00539795;-2.26227e-09;0
5e+10;0.00539795;-0.417609;0.377147
1e+11;0.00539795;-0.0723529;-0.159317
1.5e+11;0.00539795;-0.0243256;0.000332111
2e+11;0.00539795;0.0138929;-0.0147117
2.5e+11;0.00539795;-0.00503555;-0.00574989
-2.5e+11;0.00551836;-0.0066105;0.00832572
-2e+11;0.00551836;0.0187422;0.0118876
-1.5e+11;0.00551836;-0.030564;0.00236365
-1e+11;0.00551836;-0.0617034;0.159399
-5e+10;0.00551836;-0.434436;-0.372182
0;0.00551836;2.47919e-11;0
5e+10;0.00551836;-0.434436;0.372182
1e+11;0.00551836;-0.0617034;-0.159399
1.5e+11;0.00551836;-0.030564;-0.00236365
2e+11;0.00551836;0.0187422;-0.0118876
2.5e+11;0.00551836;-0.0066105;-0.00832572
-2.5e+11;0.00563877;-0.0077973;0.00961684
-2e+11;0.00563877;0.0231011;0.00985963
-1.5e+11;0.00563877;-0.0353689;0.00514782
-1e+11;0.00563877;-0.0527936;0.158999
-5e+10;0.00563877;-0.447099;-0.366154
0;0.00563877;-2.96951e-09;0
5e+10;0.00563877;-0.447099;0.366154
1e+11;0.00563877;-0.0527936;-0.158999
1.5e+11;0.00563877;-0.0353689;-0.00514782
2e+11;0.00563877;0.0231011;-0.00985963
2.5e+11;0.00563877;-0.0077973;-0.00961684
-2.5e+11;0.00575918;-0.00852997;0.00988077
-2e+11;0.00575918;0.0266169;0.00865362
-1.5e+11;0.00575918;-0.0385586;0.00772751
-1e+11;0.00575918;-0.0462525;0.158721
-5e+10;0.00575918;-0.456289;-0.360659
0;0.00575918;-1.78282e-09;0
5e+10;0.00575918;-0.456289;0.360659
1e+11;0.00575918;-0.0462525;-0.158721
1.5e+11;0.00575918;-0.0385586;-0.00772751
2e+11;0.00575918;0.0266169;-0.00865362
2.5e+11;0.00575918;-0.00852997;-0.00988077
-2.5e+11;0.00587958;-0.00898483;0.00962148
-2e+11;0.00587958;0.0295022;0.00781094
-1.5e+11;0.00587958;-0.0407747;0.0102333
